Iteration,Total_Cost,Position_Cost,Heading_Cost,Gamma_State_Cost,Lateral_Ref_Cost,Velocity_Cost,Gamma_Ctrl_Cost,Obstacle_Cost,Lane_Cost,Gamma_Barrier_Cost,Gamma_Dot_Barrier_Cost,Speed_Rate_Cost,Lambda_Value
0,19935.8,485.269,0.897185,5.7521,19124.5,0,23.2902,235.714,0,12.3234,48.0266,0,7
-1,19935.8,485.269,0.897185,5.7521,19124.5,0,23.2902,235.714,0,12.3234,48.0266,0,7
-2,6644.15,157.498,0.32101,6.56119,6059.62,5.67992,48.734,301.357,0,12.6347,51.3987,0.351034,7
1,6644.15,157.498,0.32101,6.56119,6059.62,5.67992,48.734,301.357,0,12.6347,51.3987,0.351034,7
-1,6644.15,157.498,0.32101,6.56119,6059.62,5.67992,48.734,301.357,0,12.6347,51.3987,0.351034,4.9
-2,2623.41,56.9432,0.126231,7.84143,2035.66,11.9207,98.5492,339.353,0,13.1721,59.1346,0.719166,4.9
2,2623.41,56.9432,0.126231,7.84143,2035.66,11.9207,98.5492,339.353,0,13.1721,59.1346,0.719166,4.9
-1,2623.41,56.9432,0.126231,7.84143,2035.66,11.9207,98.5492,339.353,0,13.1721,59.1346,0.719166,3.43
-2,1490.53,26.9156,0.0719866,8.88096,853.066,15.3571,143.498,360.547,0,13.6354,67.5892,0.969187,3.43
3,1490.53,26.9156,0.0719866,8.88096,853.066,15.3571,143.498,360.547,0,13.6354,67.5892,0.969187,3.43
-1,1490.53,26.9156,0.0719866,8.88096,853.066,15.3571,143.498,360.547,0,13.6354,67.5892,0.969187,2.401
-2,1179.36,18.0863,0.0588056,9.51243,500.912,17.2567,173.81,370.627,0,13.931,73.9169,1.24948,2.401
4,1179.36,18.0863,0.0588056,9.51243,500.912,17.2567,173.81,370.627,0,13.931,73.9169,1.24948,2.401
-1,1179.36,18.0863,0.0588056,9.51243,500.912,17.2567,173.81,370.627,0,13.931,73.9169,1.24948,1.6807
-2,1092.64,15.813,0.0574691,9.82281,389.966,18.5743,191.444,373.543,0,14.0828,77.6978,1.63802,1.6807
5,1092.64,15.813,0.0574691,9.82281,389.966,18.5743,191.444,373.543,0,14.0828,77.6978,1.63802,1.6807
-1,1092.64,15.813,0.0574691,9.82281,389.966,18.5743,191.444,373.543,0,14.0828,77.6978,1.63802,1.17649
-2,1064.63,14.5686,0.0572933,9.9293,350.136,19.6981,200.832,373.476,0,14.1399,79.6492,2.14628,1.17649
6,1064.63,14.5686,0.0572933,9.9293,350.136,19.6981,200.832,373.476,0,14.1399,79.6492,2.14628,1.17649
-1,1064.63,14.5686,0.0572933,9.9293,350.136,19.6981,200.832,373.476,0,14.1399,79.6492,2.14628,0.823543
-2,1049.63,13.7723,0.057435,9.92208,330.265,20.8212,205.273,372.106,0,14.1425,80.4989,2.77259,0.823543
7,1049.63,13.7723,0.057435,9.92208,330.265,20.8212,205.273,372.106,0,14.1425,80.4989,2.77259,0.823543
-1,1049.63,13.7723,0.057435,9.92208,330.265,20.8212,205.273,372.106,0,14.1425,80.4989,2.77259,0.57648
-2,1038.38,13.6256,0.0566347,9.86199,317.832,22.053,207.192,369.355,0,14.1192,80.7852,3.49721,0.57648
8,1038.38,13.6256,0.0566347,9.86199,317.832,22.053,207.192,369.355,0,14.1192,80.7852,3.49721,0.57648
-1,1038.38,13.6256,0.0566347,9.86199,317.832,22.053,207.192,369.355,0,14.1192,80.7852,3.49721,0.403536
-2,1031.1,13.6826,0.0565437,9.78084,311.52,23.4071,207.856,365.606,0,14.0854,80.8084,4.2939,0.403536
9,1031.1,13.6826,0.0565437,9.78084,311.52,23.4071,207.856,365.606,0,14.0854,80.8084,4.2939,0.403536
-1,1031.1,13.6826,0.0565437,9.78084,311.52,23.4071,207.856,365.606,0,14.0854,80.8084,4.2939,0.282475
-2,1024.61,13.3952,0.0580308,9.68671,306.61,24.8548,207.726,362.442,0,14.0453,80.6624,5.12664,0.282475
10,1024.61,13.3952,0.0580308,9.68671,306.61,24.8548,207.726,362.442,0,14.0453,80.6624,5.12664,0.282475
-1,1024.61,13.3952,0.0580308,9.68671,306.61,24.8548,207.726,362.442,0,14.0453,80.6624,5.12664,0.197733
-2,1017.51,13.3386,0.0575706,9.59177,300.781,26.3657,207.365,359.558,0,14.0051,80.4771,5.97081,0.197733
11,1017.51,13.3386,0.0575706,9.59177,300.781,26.3657,207.365,359.558,0,14.0051,80.4771,5.97081,0.197733
-1,1017.51,13.3386,0.0575706,9.59177,300.781,26.3657,207.365,359.558,0,14.0051,80.4771,5.97081,0.138413
-2,1010.95,13.1994,0.0570629,9.50192,295.826,27.9321,206.983,356.339,0,13.9671,80.3119,6.83659,0.138413
12,1010.95,13.1994,0.0570629,9.50192,295.826,27.9321,206.983,356.339,0,13.9671,80.3119,6.83659,0.138413
-1,1010.95,13.1994,0.0570629,9.50192,295.826,27.9321,206.983,356.339,0,13.9671,80.3119,6.83659,0.096889
-2,1004.43,13.0956,0.056991,9.42037,290.917,29.5449,206.634,352.968,0,13.9324,80.1616,7.70132,0.096889
13,1004.43,13.0956,0.056991,9.42037,290.917,29.5449,206.634,352.968,0,13.9324,80.1616,7.70132,0.096889
-1,1004.43,13.0956,0.056991,9.42037,290.917,29.5449,206.634,352.968,0,13.9324,80.1616,7.70132,0.0678223
-2,999.144,12.7474,0.0568816,9.34353,287.641,31.2427,206.225,349.384,0,13.8995,80.0229,8.58139,0.0678223
