Iteration,Total_Cost,Position_Cost,Heading_Cost,Gamma_State_Cost,Lateral_Ref_Cost,Velocity_Cost,Gamma_Ctrl_Cost,Obstacle_Cost,Lane_Cost,Gamma_Barrier_Cost,Gamma_Dot_Barrier_Cost,Speed_Rate_Cost,Lambda_Value
0,1147.92,7.01804,0.05172,1.02047,133.096,0,4.52737,959.033,0,5.60027,37.5741,0,7
-1,1147.92,7.01804,0.05172,1.02047,133.096,0,4.52737,959.033,0,5.60027,37.5741,0,7
-2,950.126,7.71373,0.0596926,0.91516,172.459,0.09881,4.12969,721.664,0,5.56654,37.5047,0.0144964,7
1,950.126,7.71373,0.0596926,0.91516,172.459,0.09881,4.12969,721.664,0,5.56654,37.5047,0.0144964,7
-1,950.126,7.71373,0.0596926,0.91516,172.459,0.09881,4.12969,721.664,0,5.56654,37.5047,0.0144964,4.9
-2,832.808,8.23518,0.0691643,0.934629,198.304,0.464329,6.14269,575.13,0,5.57304,37.8834,0.0715551,4.9
2,832.808,8.23518,0.0691643,0.934629,198.304,0.464329,6.14269,575.13,0,5.57304,37.8834,0.0715551,4.9
-1,832.808,8.23518,0.0691643,0.934629,198.304,0.464329,6.14269,575.13,0,5.57304,37.8834,0.0715551,3.43
-2,752.255,8.38656,0.0763872,0.959018,208.045,1.18226,8.11825,481.458,0,5.5812,38.256,0.19215,3.43
3,752.255,8.38656,0.0763872,0.959018,208.045,1.18226,8.11825,481.458,0,5.5812,38.256,0.19215,3.43
-1,752.255,8.38656,0.0763872,0.959018,208.045,1.18226,8.11825,481.458,0,5.5812,38.256,0.19215,2.401
-2,689.722,8.40806,0.0802558,0.944278,205.611,2.3058,9.10887,418.847,0,5.57691,38.444,0.396038,2.401
4,689.722,8.40806,0.0802558,0.944278,205.611,2.3058,9.10887,418.847,0,5.57691,38.444,0.396038,2.401
-1,689.722,8.40806,0.0802558,0.944278,205.611,2.3058,9.10887,418.847,0,5.57691,38.444,0.396038,1.6807
-2,637.866,8.1073,0.0811349,0.895131,196.268,3.84463,9.21073,374.737,0,5.5617,38.4644,0.695086,1.6807
5,637.866,8.1073,0.0811349,0.895131,196.268,3.84463,9.21073,374.737,0,5.5617,38.4644,0.695086,1.6807
-1,637.866,8.1073,0.0811349,0.895131,196.268,3.84463,9.21073,374.737,0,5.5617,38.4644,0.695086,1.17649
-2,594.575,7.96237,0.0798333,0.831162,184.146,5.77621,8.82823,341.923,0,5.54184,38.3931,1.09298,1.17649
6,594.575,7.96237,0.0798333,0.831162,184.146,5.77621,8.82823,341.923,0,5.54184,38.3931,1.09298,1.17649
-1,594.575,7.96237,0.0798333,0.831162,184.146,5.77621,8.82823,341.923,0,5.54184,38.3931,1.09298,0.823543
-2,557.725,7.40222,0.076737,0.768983,171.449,8.04687,8.28387,316.302,0,5.52254,38.2913,1.5817,0.823543
7,557.725,7.40222,0.076737,0.768983,171.449,8.04687,8.28387,316.302,0,5.52254,38.2913,1.5817,0.823543
-1,557.725,7.40222,0.076737,0.768983,171.449,8.04687,8.28387,316.302,0,5.52254,38.2913,1.5817,0.57648
-2,527.442,6.71926,0.0731472,0.718273,159.961,10.5663,7.76102,295.789,0,5.50679,38.1932,2.15377,0.57648
8,527.442,6.71926,0.0731472,0.718273,159.961,10.5663,7.76102,295.789,0,5.50679,38.1932,2.15377,0.57648
-1,527.442,6.71926,0.0731472,0.718273,159.961,10.5663,7.76102,295.789,0,5.50679,38.1932,2.15377,0.403536
-2,503.33,6.63863,0.0706135,0.681375,150.046,13.2492,7.31656,278.929,0,5.4953,38.1098,2.79456,0.403536
9,503.33,6.63863,0.0706135,0.681375,150.046,13.2492,7.31656,278.929,0,5.4953,38.1098,2.79456,0.403536
-1,503.33,6.63863,0.0706135,0.681375,150.046,13.2492,7.31656,278.929,0,5.4953,38.1098,2.79456,0.282475
-2,483.865,7.08654,0.0668642,0.656622,141.455,16.045,6.93708,264.613,0,5.48755,38.0385,3.47826,0.282475
10,483.865,7.08654,0.0668642,0.656622,141.455,16.045,6.93708,264.613,0,5.48755,38.0385,3.47826,0.282475
-1,483.865,7.08654,0.0668642,0.656622,141.455,16.045,6.93708,264.613,0,5.48755,38.0385,3.47826,0.197733
-2,465.868,5.99335,0.0600058,0.642348,133.848,18.9453,6.60932,252.119,0,5.48301,37.9769,4.19019,0.197733
11,465.868,5.99335,0.0600058,0.642348,133.848,18.9453,6.60932,252.119,0,5.48301,37.9769,4.19019,0.197733
-1,465.868,5.99335,0.0600058,0.642348,133.848,18.9453,6.60932,252.119,0,5.48301,37.9769,4.19019,0.138413
-2,452.085,5.75519,0.0588069,0.635927,127.528,21.835,6.36608,241.566,0,5.48088,37.9312,4.92745,0.138413
12,452.085,5.75519,0.0588069,0.635927,127.528,21.835,6.36608,241.566,0,5.48088,37.9312,4.92745,0.138413
-1,452.085,5.75519,0.0588069,0.635927,127.528,21.835,6.36608,241.566,0,5.48088,37.9312,4.92745,0.096889
-2,440.906,6.09825,0.0552228,0.635533,121.923,24.7084,6.15573,232.288,0,5.48062,37.8917,5.66874,0.096889
13,440.906,6.09825,0.0552228,0.635533,121.923,24.7084,6.15573,232.288,0,5.48062,37.8917,5.66874,0.096889
-1,440.906,6.09825,0.0552228,0.635533,121.923,24.7084,6.15573,232.288,0,5.48062,37.8917,5.66874,0.0678223
-2,429.659,4.97515,0.053444,0.640419,116.728,27.6061,5.95253,223.973,0,5.48197,37.8535,6.3948,0.0678223
14,429.659,4.97515,0.053444,0.640419,116.728,27.6061,5.95253,223.973,0,5.48197,37.8535,6.3948,0.0678223
-1,429.659,4.97515,0.053444,0.640419,116.728,27.6061,5.95253,223.973,0,5.48197,37.8535,6.3948,0.0474756
-2,422.669,5.9045,0.0504439,0.646185,112.603,30.3024,5.79476,216.94,0,5.48362,37.8237,7.12053,0.0474756
