Iteration,Total_Cost,Position_Cost,Heading_Cost,Gamma_State_Cost,Lateral_Ref_Cost,Velocity_Cost,Gamma_Ctrl_Cost,Obstacle_Cost,Lane_Cost,Gamma_Barrier_Cost,Gamma_Dot_Barrier_Cost,Speed_Rate_Cost,Lambda_Value
-1,476.632,7.72499,0.0684059,4.06079,114.796,33.2286,9.70303,211.967,0,11.7491,75.2857,8.04819,0.0232631
-2,471.556,8.23073,0.0707756,4.03472,111.909,35.7919,9.60964,206.175,0,11.7398,75.2679,8.72674,0.0232631
17,471.556,8.23073,0.0707756,4.03472,111.909,35.7919,9.60964,206.175,0,11.7398,75.2679,8.72674,0.0232631
-1,471.556,8.23073,0.0707756,4.03472,111.909,35.7919,9.60964,206.175,0,11.7398,75.2679,8.72674,0.0162841
-2,466.254,8.30584,0.0694039,4.00468,108.774,38.242,9.54009,200.96,0,11.7293,75.2545,9.37471,0.0162841
18,466.254,8.30584,0.0694039,4.00468,108.774,38.242,9.54009,200.96,0,11.7293,75.2545,9.37471,0.0162841
-1,466.254,8.30584,0.0694039,4.00468,108.774,38.242,9.54009,200.96,0,11.7293,75.2545,9.37471,0.0113989
-2,461.887,7.99304,0.0721664,3.96932,106.553,40.6082,9.49557,196.251,0,11.7171,75.2458,9.98244,0.0113989
19,461.887,7.99304,0.0721664,3.96932,106.553,40.6082,9.49557,196.251,0,11.7171,75.2458,9.98244,0.0113989
-1,461.887,7.99304,0.0721664,3.96932,106.553,40.6082,9.49557,196.251,0,11.7171,75.2458,9.98244,0.00797923
-2,458.503,8.49024,0.0698429,3.9341,104.126,42.8102,9.48473,192.087,0,11.7053,75.2433,10.5527,0.00797923
20,458.503,8.49024,0.0698429,3.9341,104.126,42.8102,9.48473,192.087,0,11.7053,75.2433,10.5527,0.00797923
-1,458.503,8.49024,0.0698429,3.9341,104.126,42.8102,9.48473,192.087,0,11.7053,75.2433,10.5527,0.00558546
-2,455.482,8.3822,0.0730268,3.89124,102.446,44.9517,9.48648,188.232,0,11.691,75.2433,11.0852,0.00558546
21,455.482,8.3822,0.0730268,3.89124,102.446,44.9517,9.48648,188.232,0,11.691,75.2433,11.0852,0.00558546
-1,455.482,8.3822,0.0730268,3.89124,102.446,44.9517,9.48648,188.232,0,11.691,75.2433,11.0852,0.00390982
-2,452.131,8.1048,0.070021,3.85203,100.345,46.9419,9.52632,184.799,0,11.6782,75.2503,11.5632,0.00390982
22,452.131,8.1048,0.070021,3.85203,100.345,46.9419,9.52632,184.799,0,11.6782,75.2503,11.5632,0.00390982
-1,452.131,8.1048,0.070021,3.85203,100.345,46.9419,9.52632,184.799,0,11.6782,75.2503,11.5632,0.00273687
-2,450.652,8.44103,0.0741832,3.80752,99.3118,48.7941,9.57553,181.711,0,11.6637,75.2591,12.014,0.00273687
23,450.652,8.44103,0.0741832,3.80752,99.3118,48.7941,9.57553,181.711,0,11.6637,75.2591,12.014,0.00273687
-1,450.652,8.44103,0.0741832,3.80752,99.3118,48.7941,9.57553,181.711,0,11.6637,75.2591,12.014,0.00191581
-2,447.425,7.87371,0.0705844,3.76739,97.2635,50.6325,9.66088,178.81,0,11.6509,75.2746,12.4213,0.00191581
24,447.425,7.87371,0.0705844,3.76739,97.2635,50.6325,9.66088,178.81,0,11.6509,75.2746,12.4213,0.00191581
-1,447.425,7.87371,0.0705844,3.76739,97.2635,50.6325,9.66088,178.81,0,11.6509,75.2746,12.4213,0.00134107
-2,446.953,8.44833,0.0752319,3.72738,96.7136,52.3194,9.73278,176.213,0,11.6381,75.2877,12.7976,0.00134107
25,446.953,8.44833,0.0752319,3.72738,96.7136,52.3194,9.73278,176.213,0,11.6381,75.2877,12.7976,0.00134107
0,446.548,8.44568,0.0831475,3.76308,97.6773,52.1468,8.69611,176.211,0,11.649,75.09,12.7855,0.001
-1,446.548,8.44568,0.0831475,3.76308,97.6773,52.1468,8.69611,176.211,0,11.649,75.09,12.7855,7
-2,444.86,8.1993,0.0806072,3.6532,96.3153,52.9953,8.9772,175.009,0,11.6143,75.1419,12.8736,7
1,444.86,8.1993,0.0806072,3.6532,96.3153,52.9953,8.9772,175.009,0,11.6143,75.1419,12.8736,7
-1,444.86,8.1993,0.0806072,3.6532,96.3153,52.9953,8.9772,175.009,0,11.6143,75.1419,12.8736,4.9
-2,443.754,7.77607,0.0741002,3.5832,95.8137,53.9145,9.21535,173.625,0,11.5924,75.186,12.9739,4.9
2,443.754,7.77607,0.0741002,3.5832,95.8137,53.9145,9.21535,173.625,0,11.5924,75.186,12.9739,4.9
-1,443.754,7.77607,0.0741002,3.5832,95.8137,53.9145,9.21535,173.625,0,11.5924,75.186,12.9739,3.43
-2,443.045,7.771,0.078754,3.53455,95.2564,54.8911,9.47033,172.144,0,11.5776,75.2332,13.0879,3.43
3,443.045,7.771,0.078754,3.53455,95.2564,54.8911,9.47033,172.144,0,11.5776,75.2332,13.0879,3.43
0,443.41,7.74947,0.0887193,3.54766,96.5469,54.7904,8.77997,172.142,0,11.5816,75.1034,13.0797,2.401
-1,443.41,7.74947,0.0887193,3.54766,96.5469,54.7904,8.77997,172.142,0,11.5816,75.1034,13.0797,7
-2,442.477,7.86908,0.0847554,3.45684,95.2419,55.5495,9.2145,171.187,0,11.5537,75.184,13.1358,7
1,442.477,7.86908,0.0847554,3.45684,95.2419,55.5495,9.2145,171.187,0,11.5537,75.184,13.1358,7
0,443.55,7.91652,0.100468,3.45885,96.8204,55.4793,8.80631,171.184,0,11.5544,75.1081,13.1224,4.9
-1,443.55,7.91652,0.100468,3.45885,96.8204,55.4793,8.80631,171.184,0,11.5544,75.1081,13.1224,7
-2,443.507,8.12778,0.088661,3.37505,96.1306,56.2615,9.38365,170.225,0,11.529,75.2153,13.1705,7
-2,443.093,7.9416,0.0928018,3.41311,96.1457,55.8685,9.08382,170.702,0,11.5405,75.1596,13.1459,7
1,443.093,7.9416,0.0928018,3.41311,96.1457,55.8685,9.08382,170.702,0,11.5405,75.1596,13.1459,7
0,445.294,8.09559,0.11277,3.40688,98.4893,55.8236,8.87581,170.697,0,11.5386,75.1213,13.1336,4.9
-1,445.294,8.09559,0.11277,3.40688,98.4893,55.8236,8.87581,170.697,0,11.5386,75.1213,13.1336,7
-2,444.347,8.11989,0.0969289,3.32385,96.7985,56.6114,9.6899,169.739,0,11.5139,75.2726,13.1808,7
1,444.347,8.11989,0.0969289,3.32385,96.7985,56.6114,9.6899,169.739,0,11.5139,75.2726,13.1808,7
0,446.905,8.24368,0.118519,3.30828,99.3705,56.5894,9.60487,169.73,0,11.5092,75.257,13.1737,4.9
-1,446.905,8.24368,0.118519,3.30828,99.3705,56.5894,9.60487,169.73,0,11.5092,75.257,13.1737,7
-2,444.058,7.45845,0.100077,3.28643,96.2237,57.4235,10.6296,168.773,0,11.5036,75.4481,13.2114,7
1,444.058,7.45845,0.100077,3.28643,96.2237,57.4235,10.6296,168.773,0,11.5036,75.4481,13.2114,7
-1,444.058,7.45845,0.100077,3.28643,96.2237,57.4235,10.6296,168.773,0,11.5036,75.4481,13.2114,4.9
-2,443.148,7.72188,0.0977395,3.31387,94.2864,58.2676,11.4189,167.677,0,11.5128,75.5958,13.2558,4.9
2,443.148,7.72188,0.0977395,3.31387,94.2864,58.2676,11.4189,167.677,0,11.5128,75.5958,13.2558,4.9
0,445.425,7.7705,0.116959,3.29798,96.5646,58.2644,11.3978,167.661,0,11.508,75.5919,13.2521,3.43
-1,445.425,7.7705,0.116959,3.29798,96.5646,58.2644,11.3978,167.661,0,11.508,75.5919,13.2521,7
-2,444.74,7.99899,0.11391,3.36187,94.5748,59.0529,12.2754,166.798,0,11.5282,75.7565,13.2787,7
1,444.74,7.99899,0.11391,3.36187,94.5748,59.0529,12.2754,166.798,0,11.5282,75.7565,13.2787,7
0,447.687,8.04872,0.135608,3.35066,97.4974,59.0566,12.2748,166.77,0,11.5248,75.7564,13.2719,4.9
-1,447.687,8.04872,0.135608,3.35066,97.4974,59.0566,12.2748,166.77,0,11.5248,75.7564,13.2719,7
-2,445.435,7.67241,0.120055,3.48289,94.1688,59.8909,13.3729,165.908,0,11.5663,75.9628,13.2903,7
1,445.435,7.67241,0.120055,3.48289,94.1688,59.8909,13.3729,165.908,0,11.5663,75.9628,13.2903,7
-1,445.435,7.67241,0.120055,3.48289,94.1688,59.8909,13.3729,165.908,0,11.5663,75.9628,13.2903,4.9
-2,444.293,7.27818,0.107083,3.59814,92.5756,60.7463,14.0879,164.89,0,11.6024,76.0976,13.3105,4.9
2,444.293,7.27818,0.107083,3.59814,92.5756,60.7463,14.0879,164.89,0,11.6024,76.0976,13.3105,4.9
-1,444.293,7.27818,0.107083,3.59814,92.5756,60.7463,14.0879,164.89,0,11.6024,76.0976,13.3105,3.43
-2,444.988,7.89626,0.101562,3.69207,92.178,61.595,14.5637,163.806,0,11.6319,76.1873,13.3361,3.43
-2,443.648,6.86979,0.102758,3.64348,92.1149,61.168,14.3208,164.348,0,11.6166,76.1415,13.322,3.43
3,443.648,6.86979,0.102758,3.64348,92.1149,61.168,14.3208,164.348,0,11.6166,76.1415,13.322,3.43
0,445.968,6.96164,0.130673,3.65621,94.3536,61.178,14.3154,164.296,0,11.6205,76.1405,13.3146,2.401
-1,445.968,6.96164,0.130673,3.65621,94.3536,61.178,14.3154,164.296,0,11.6205,76.1405,13.3146,7
-2,446.912,8.11403,0.118603,3.8238,92.9987,61.8445,15.155,163.562,0,11.6732,76.2991,13.3226,7
-2,446.989,7.90866,0.125121,3.73653,93.871,61.5096,14.7272,163.929,0,11.6457,76.2182,13.318,7
-2,446.252,7.35575,0.126481,3.6955,93.9706,61.3434,14.5193,164.113,0,11.6328,76.179,13.3162,7
-2,445.77,6.86158,0.128351,3.67564,94.1209,61.2606,14.4168,164.205,0,11.6266,76.1596,13.3153,7
1,445.77,6.86158,0.128351,3.67564,94.1209,61.2606,14.4168,164.205,0,11.6266,76.1596,13.3153,7
0,449.641,7.027,0.164155,3.69079,97.9079,61.2689,14.3973,164.11,0,11.6313,76.1561,13.288,4.9
-1,449.641,7.027,0.164155,3.69079,97.9079,61.2689,14.3973,164.11,0,11.6313,76.1561,13.288,7
-2,448.664,8.11712,0.137716,3.96254,94.0892,61.917,15.6552,163.384,0,11.7171,76.3938,13.2908,7
1,448.664,8.11712,0.137716,3.96254,94.0892,61.917,15.6552,163.384,0,11.7171,76.3938,13.2908,7
0,452.61,8.29405,0.175181,4.00056,98.0291,61.9138,15.6243,163.213,0,11.7288,76.3881,13.2426,4.9
-1,452.61,8.29405,0.175181,4.00056,98.0291,61.9138,15.6243,163.213,0,11.7288,76.3881,13.2426,7
-2,449.542,8.05272,0.145265,4.35741,93.1649,62.7117,16.9792,162.414,0,11.8433,76.6449,13.2283,7
1,449.542,8.05272,0.145265,4.35741,93.1649,62.7117,16.9792,162.414,0,11.8433,76.6449,13.2283,7
-1,449.542,8.05272,0.145265,4.35741,93.1649,62.7117,16.9792,162.414,0,11.8433,76.6449,13.2283,4.9
-2,447.843,7.64766,0.129828,4.61272,90.611,63.5998,17.8048,161.504,0,11.9262,76.8016,13.2055,4.9
2,447.843,7.64766,0.129828,4.61272,90.611,63.5998,17.8048,161.504,0,11.9262,76.8016,13.2055,4.9
-1,447.843,7.64766,0.129828,4.61272,90.611,63.5998,17.8048,161.504,0,11.9262,76.8016,13.2055,3.43
-2,446.371,7.08671,0.121263,4.78025,89.0632,64.5131,18.2332,160.528,0,11.9811,76.8827,13.1808,3.43
3,446.371,7.08671,0.121263,4.78025,89.0632,64.5131,18.2332,160.528,0,11.9811,76.8827,13.1808,3.43
-1,446.371,7.08671,0.121263,4.78025,89.0632,64.5131,18.2332,160.528,0,11.9811,76.8827,13.1808,2.401
-2,446.024,7.16749,0.121017,4.87992,88.4635,65.4029,18.3898,159.512,0,12.0139,76.912,13.1612,2.401
4,446.024,7.16749,0.121017,4.87992,88.4635,65.4029,18.3898,159.512,0,12.0139,76.912,13.1612,2.401
0,447.986,7.2754,0.151117,4.9877,90.6162,65.329,18.359,159.205,0,12.0484,76.9063,13.1077,1.6807
-1,447.986,7.2754,0.151117,4.9877,90.6162,65.329,18.359,159.205,0,12.0484,76.9063,13.1077,7
-2,447.475,7.78139,0.135488,5.25672,88.4125,66.0461,19.0915,158.501,0,12.1386,77.0457,13.0655,7
1,447.475,7.78139,0.135488,5.25672,88.4125,66.0461,19.0915,158.501,0,12.1386,77.0457,13.0655,7
0,449.669,7.94345,0.16838,5.38661,91.1738,65.894,19.0719,157.931,0,12.1806,77.0421,12.877,4.9
-1,449.669,7.94345,0.16838,5.38661,91.1738,65.894,19.0719,157.931,0,12.1806,77.0421,12.877,7
-2,447.542,7.75469,0.149671,5.77436,87.591,66.6958,20.0481,157.193,0,12.3131,77.2281,12.794,7
1,447.542,7.75469,0.149671,5.77436,87.591,66.6958,20.0481,157.193,0,12.3131,77.2281,12.794,7
-1,447.542,7.75469,0.149671,5.77436,87.591,66.6958,20.0481,157.193,0,12.3131,77.2281,12.794,4.9
-2,446.262,7.6121,0.136162,6.02123,85.589,67.5916,20.5494,156.347,0,12.3989,77.3234,12.6932,4.9
2,446.262,7.6121,0.136162,6.02123,85.589,67.5916,20.5494,156.347,0,12.3989,77.3234,12.6932,4.9
-1,446.262,7.6121,0.136162,6.02123,85.589,67.5916,20.5494,156.347,0,12.3989,77.3234,12.6932,3.43
-2,445.06,7.19974,0.130548,6.15737,84.5519,68.5455,20.7078,155.387,0,12.4466,77.353,12.5798,3.43
3,445.06,7.19974,0.130548,6.15737,84.5519,68.5455,20.7078,155.387,0,12.4466,77.353,12.5798,3.43
-1,445.06,7.19974,0.130548,6.15737,84.5519,68.5455,20.7078,155.387,0,12.4466,77.353,12.5798,2.401
-2,443.905,6.85966,0.131427,6.21937,83.8346,69.5131,20.673,154.404,0,12.4681,77.3454,12.4564,2.401
4,443.905,6.85966,0.131427,6.21937,83.8346,69.5131,20.673,154.404,0,12.4681,77.3454,12.4564,2.401
-1,443.905,6.85966,0.131427,6.21937,83.8346,69.5131,20.673,154.404,0,12.4681,77.3454,12.4564,1.6807
-2,443.535,7.77531,0.131123,6.25032,82.7978,70.4602,20.5661,153.432,0,12.4785,77.3241,12.3199,1.6807
5,443.535,7.77531,0.131123,6.25032,82.7978,70.4602,20.5661,153.432,0,12.4785,77.3241,12.3199,1.6807
0,443.903,7.83505,0.1532,6.44627,84.6382,69.8673,20.5645,152.384,0,12.5439,77.3238,12.1469,1.17649
-1,443.903,7.83505,0.1532,6.44627,84.6382,69.8673,20.5645,152.384,0,12.5439,77.3238,12.1469,7
-2,442.678,7.79202,0.137105,6.76683,82.3251,70.7006,21.2013,151.654,0,12.6586,77.4453,11.997,7
1,442.678,7.79202,0.137105,6.76683,82.3251,70.7006,21.2013,151.654,0,12.6586,77.4453,11.997,7
-1,442.678,7.79202,0.137105,6.76683,82.3251,70.7006,21.2013,151.654,0,12.6586,77.4453,11.997,4.9
-2,441.383,7.36592,0.128054,6.96067,80.9681,71.649,21.4795,150.788,0,12.7288,77.498,11.8164,4.9
2,441.383,7.36592,0.128054,6.96067,80.9681,71.649,21.4795,150.788,0,12.7288,77.498,11.8164,4.9
-1,441.383,7.36592,0.128054,6.96067,80.9681,71.649,21.4795,150.788,0,12.7288,77.498,11.8164,3.43
-2,440.578,7.18906,0.127028,7.05712,80.3232,72.638,21.5179,149.848,0,12.7636,77.5046,11.61,3.43
3,440.578,7.18906,0.127028,7.05712,80.3232,72.638,21.5179,149.848,0,12.7636,77.5046,11.61,3.43
0,438.375,7.20487,0.148681,7.2982,81.4069,71.4737,21.5119,147.811,0,12.8458,77.5035,11.1708,2.401
